entity_id,metric_id,year,value
30319,total_appearances,,10
16220,total_appearances,,10
243417,total_appearances,,10
1114,total_appearances,,10
11833,total_appearances,,10
12795,total_appearances,,10
595056,total_appearances,,10
16267,total_appearances,,10
19514,total_appearances,,10
19523,total_appearances,,10
15782,total_appearances,,10
47525,total_appearances,,10
566154,total_appearances,,10
52880,total_appearances,,10
183162,total_appearances,,10
125496,total_appearances,,10
317453,total_appearances,,10
347145,total_appearances,,10
504633,total_appearances,,10
502839,total_appearances,,10
534478,total_appearances,,10
625289,total_appearances,,10
595508,total_appearances,,10
595507,total_appearances,,10
635246,total_appearances,,10
704033,total_appearances,,10
16052,total_appearances,,9
77309,total_appearances,,9
16119,total_appearances,,9
10459,total_appearances,,9
43146,total_appearances,,9
19625,total_appearances,,9
22340,total_appearances,,9
27101,total_appearances,,9
299030,total_appearances,,9
1461,total_appearances,,9
16083,total_appearances,,9
16785,total_appearances,,9
11041,total_appearances,,9
5514,total_appearances,,9
43670,total_appearances,,9
316117,total_appearances,,9
2650,total_appearances,,9
43147,total_appearances,,9
694261,total_appearances,,9
632766,total_appearances,,9
723724,total_appearances,,9
2498,total_appearances,,9
25607,total_appearances,,9
2674,total_appearances,,9
15283,total_appearances,,9
41361,total_appearances,,9
43312,total_appearances,,9
1736,total_appearances,,9
19493,total_appearances,,9
2652,total_appearances,,9
27881,total_appearances,,9
15925,total_appearances,,9
1587,total_appearances,,9
1308,total_appearances,,9
243015,total_appearances,,9
395410,total_appearances,,9
439912,total_appearances,,9
490652,total_appearances,,9
2681,total_appearances,,9
2729,total_appearances,,9
1625,total_appearances,,9
11800,total_appearances,,9
116344,total_appearances,,9
3885,total_appearances,,9
30311,total_appearances,,9
23845,total_appearances,,9
5555,total_appearances,,9
30315,total_appearances,,9
30316,total_appearances,,9
401502,total_appearances,,9
34056,total_appearances,,9
7321,total_appearances,,9
1860,total_appearances,,9
244100,total_appearances,,9
18103,total_appearances,,9
406108,total_appearances,,9
2012,total_appearances,,9
17158,total_appearances,,9
1331,total_appearances,,9
297441,total_appearances,,9
297001,total_appearances,,9
1548,total_appearances,,9
174685,total_appearances,,9
177286,total_appearances,,9
5830,total_appearances,,9
19601,total_appearances,,9
39602,total_appearances,,9
234039,total_appearances,,9
26809,total_appearances,,9
18401,total_appearances,,9
40669,total_appearances,,9
34595,total_appearances,,9
95513,total_appearances,,9
26731,total_appearances,,9
40054,total_appearances,,9
19590,total_appearances,,9
295594,total_appearances,,9
672600,total_appearances,,9
17498,total_appearances,,9
264600,total_appearances,,9
27142,total_appearances,,9
1200,total_appearances,,9
4435,total_appearances,,9
41596,total_appearances,,9
129835,total_appearances,,9
84825,total_appearances,,9
122157,total_appearances,,9
485977,total_appearances,,9
338510,total_appearances,,9
251009,total_appearances,,9
297581,total_appearances,,9
706346,total_appearances,,9
705620,total_appearances,,9
281438,total_appearances,,9
401546,total_appearances,,9
281434,total_appearances,,9
401544,total_appearances,,9
351861,total_appearances,,9
511051,total_appearances,,9
511054,total_appearances,,9
511053,total_appearances,,9
511055,total_appearances,,9
403437,total_appearances,,9
342559,total_appearances,,9
535600,total_appearances,,9
458949,total_appearances,,9
419384,total_appearances,,9
512287,total_appearances,,9
623407,total_appearances,,9
564728,total_appearances,,9
679249,total_appearances,,9
703901,total_appearances,,9
729887,total_appearances,,9
521367,total_appearances,,8
522030,total_appearances,,8
241891,total_appearances,,8
45214,total_appearances,,8
260742,total_appearances,,8
16074,total_appearances,,8
